Year,open,Extra Lightweight,Half Lightweight,Lightweight,Half Middleweight,Middleweight,Half Heavyweight,Heavyweight
1972,y,,,63,70,80,93,93+
1976,y,,,63,70,80,93,93+
1980,y,60,65,71,78,86,95,95+
1984,y,60,65,71,78,86,95,95+
1988,,60,65,71,78,86,95,95+
1992,,60,65,71,78,86,95,95+
1996,,60,65,71,78,86,95,95+
2000,,60,66,73,81,90,100,100+
2004,,60,66,73,81,90,100,100+
2008,,60,66,73,81,90,100,100+
2012,,60,66,73,81,90,100,100+
2016,,60,66,73,81,90,100,100+
